סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
2,939,הראל,464,1,1,0,220,119,0,119,31,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,5,4,30,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
2,948,נווה שלום,1259,1,1,0,230,178,0,178,15,0,0,90,0,0,0,0,0,0,0,0,0,0,0,2,0,0,63,0,0,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,
2,969,בית שמש,2610,16.1,10,0,560,377,0,377,9,21,1,0,0,0,19,0,3,0,0,0,0,0,0,20,10,203,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,50,18,
2,1050,בית שמש,2610,86.1,26,0,524,111,1,110,0,0,63,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,
2,1051,בית שמש,2610,86.2,26,0,524,104,1,103,0,0,73,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,
2,1100,נווה דניאל,3725,1,2,0,457,322,1,321,2,147,0,0,0,0,108,0,0,0,0,0,0,0,0,3,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,21,
2,1101,נווה דניאל,3725,2,2,0,582,442,0,442,2,197,7,0,0,0,124,0,1,0,0,1,0,0,0,4,2,66,2,0,0,0,0,5,1,0,0,1,0,0,0,0,0,10,1,0,0,2,16,
2,1129,ביתר עילית,3780,27.5,5,0,581,417,3,414,1,3,296,0,0,0,32,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,
2,1172,מגדל עוז,3561,1,1,0,267,167,2,165,1,81,0,0,0,0,42,0,1,0,0,0,0,0,0,2,0,24,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,
2,1180,אדורה,3759,1,1,0,244,183,0,183,1,37,0,0,0,0,66,0,3,0,0,0,0,0,0,4,2,41,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,1,0,0,3,9,
2,1181,חברון,3400,1,1,0,309,201,0,201,2,11,1,0,0,0,163,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,1,2,
2,1184,נגוהות,3724,1,1,0,158,139,0,139,0,35,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,
2,1186,פני חבר,3723,1,1,0,249,198,2,196,1,11,1,0,0,0,153,0,0,0,0,0,0,0,0,2,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,
2,1196,תלם,3719,1,1,0,215,156,0,156,1,30,3,0,0,0,88,0,1,0,0,1,0,0,0,0,1,22,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,
3,1275,אביבים,1115,1,1,0,342,243,1,242,0,2,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,88,1,
3,1276,אור הגנוז,1294,1,2,0,296,162,1,161,0,5,72,0,0,0,29,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,50,0,
3,1286,דישון,2063,1,1,0,306,200,2,198,7,10,2,0,0,0,11,0,4,0,0,0,1,0,0,20,4,94,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,16,18,
3,1290,כדיתה,1338,1,1,0,138,49,1,48,9,4,2,0,0,0,1,0,2,0,0,0,0,0,1,5,0,8,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,
3,1293,כפר שמאי,605,1,1,0,337,240,0,240,4,11,4,0,0,0,53,0,0,0,0,0,0,1,0,4,2,109,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,28,5,
3,1298,עמוקה,1212,1,1,0,147,103,1,102,28,4,0,2,0,0,2,0,1,0,0,0,0,0,0,12,3,8,22,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
3,1332,צפת,8000,25.2,24,0,368,204,0,204,0,22,28,0,0,0,48,0,0,0,0,0,0,0,0,6,2,33,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,55,0,
3,1377,יסוד המעלה,29,2.3,1,0,433,300,0,300,47,17,0,1,0,0,14,0,8,0,0,0,0,0,0,69,6,43,21,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,2,21,
3,1412,מנרה,347,1,1,0,210,147,0,147,56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,5,4,24,0,0,0,0,27,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,
3,1414,מרגליות,843,1,1,0,338,189,1,188,5,19,2,0,0,0,6,0,1,0,0,0,0,0,0,23,2,72,5,0,0,0,0,21,0,0,0,0,0,0,0,0,0,2,0,0,0,9,21,
3,1415,משגב עם,378,1,1,0,257,173,0,173,67,2,0,0,0,0,0,0,5,0,0,0,0,0,0,12,15,6,15,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,
3,1466,נווה אטיב,4303,1,1,0,175,105,2,103,7,9,0,0,0,1,3,1,0,0,0,1,0,0,0,10,1,25,5,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
3,1470,עין זיוון,4503,1,1,0,295,204,0,204,48,9,0,0,0,0,1,0,3,0,0,0,0,0,0,20,14,22,21,0,0,0,0,44,0,0,0,0,0,0,0,0,0,6,0,0,0,0,16,
3,1471,עין קנייא,4502,1,3,0,165,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
3,1473,קלע,4024,1,1,0,236,145,0,145,19,5,0,0,0,0,2,0,4,0,0,0,0,0,1,7,16,30,7,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,0,12,
3,1486,שעל,4009,1,1,0,224,167,2,165,21,5,0,0,0,2,9,0,1,0,0,0,0,0,0,14,7,41,4,0,0,0,0,39,0,0,0,0,0,0,0,0,0,3,0,0,0,6,13,
4,1487,טבריה,6700,2,14,0,559,280,0,280,1,13,9,0,0,0,27,0,3,0,0,0,1,0,0,7,19,125,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,0,0,45,6,
